79930007679820010002901719611             9999999999999001400     1610      674Census Tract 14 (part)                                                                                                                                                     
79930007679820010002901719611             9999999999999001700     6240     3167Census Tract 17 (part)                                                                                                                                                     
79630007679820010003501719607                                    13399     5348Glacier County                                                                                                                                                             
79830007679820010003501719607             0325002583786            174       87Babb CDP                                                                                                                                                                   
79930007679820010003501719607             0325002583786940400      174       87Census Tract 9404 (part)                                                                                                                                                   
79830007679820010003501719607             1037502411735           1016      394Browning town                                                                                                                                                              
79930007679820010003501719607             1037502411735940200     1016      394Census Tract 9402 (part)                                                                                                                                                   
79830007679820010003501719607             1877502410281           2869     1441Cut Bank city                                                                                                                                                              
79930007679820010003501719607             1877502410281976000     2869     1441Census Tract 9760 (part)                                                                                                                                                   
79830007679820010003501719607             2298502408707            363      218East Glacier Park Village CDP                                                                                                                                              
79930007679820010003501719607             2298502408707940400      363      218Census Tract 9404 (part)                                                                                                                                                   
79830007679820010003501719607             4383502583824            206       69Little Browning CDP                                                                                                                                                        
79930007679820010003501719607             4383502583824940400      206       69Census Tract 9404 (part)                                                                                                                                                   
79830007679820010003501719607             5451002408935           2408      730North Browning CDP                                                                                                                                                         
79930007679820010003501719607             5451002408935940200     2381      722Census Tract 9402 (part)                                                                                                                                                   
79930007679820010003501719607             5451002408935940400       27        8Census Tract 9404 (part)                                                                                                                                                   
79830007679820010003501719607             6625002583843            113       53Santa Rita CDP                                                                                                                                                             
79930007679820010003501719607             6625002583843976000      113       53Census Tract 9760 (part)                                                                                                                                                   
79830007679820010003501719607             6968002408761           1785      526South Browning CDP                                                                                                                                                         
79930007679820010003501719607             6968002408761940200     1785      526Census Tract 9402 (part)                                                                                                                                                   
79830007679820010003501719607             7082502409996            252       71Starr School CDP                                                                                                                                                           
79930007679820010003501719607             7082502409996940400      252       71Census Tract 9404 (part)                                                                                                                                                   
79830007679820010003501719607             9999999999999           4213     1759Remainder of Glacier County                                                                                                                                                
79930007679820010003501719607             9999999999999940200       61       26Census Tract 9402 (part)                                                                                                                                                   
79930007679820010003501719607             9999999999999940400     3308     1357Census Tract 9404 (part)                                                                                                                                                   
79930007679820010003501719607             9999999999999976000      820      303Census Tract 9760 (part)                                                                                                                                                   
79930007679820010003501719607             9999999999999980000       24       73Census Tract 9800                                                                                                                                                          
79630007679820010005301720038                                    19687    11413Lincoln County                                                                                                                                                             
79830007679820010005301720038             2485002412605           1037      495Eureka town                                                                                                                                                                
79930007679820010005301720038             2485002412605000400     1037      495Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             2815002408246            325      191Fortine CDP                                                                                                                                                                
79930007679820010005301720038             2815002408246000400      325      191Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             3411002583813            164      277Happys Inn CDP                                                                                                                                                             
79930007679820010005301720038             3411002583813000100      164      277Census Tract 1 (part)                                                                                                                                                      
79830007679820010005301720038             3848002583818             31       29Indian Springs CDP                                                                                                                                                         
79930007679820010005301720038             3848002583818000400       31       29Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             4345002410831           2628     1416Libby city                                                                                                                                                                 
79930007679820010005301720038             4345002410831000100      288      155Census Tract 1 (part)                                                                                                                                                      
79930007679820010005301720038             4345002410831000200     2272     1216Census Tract 2 (part)                                                                                                                                                      
79930007679820010005301720038             4345002410831000300       68       45Census Tract 3 (part)                                                                                                                                                      
79830007679820010005301720038             4940002583830            393      190Midvale CDP                                                                                                                                                                
79930007679820010005301720038             4940002583830000400      393      190Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             5795002583833            959      449Pioneer Junction CDP                                                                                                                                                       
79930007679820010005301720038             5795002583833000100      959      449Census Tract 1 (part)                                                                                                                                                      
79830007679820010005301720038             6220002412545            105       99Rexford town                                                                                                                                                               
79930007679820010005301720038             6220002412545000400      105       99Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             7157502583853             26       24Stryker CDP                                                                                                                                                                
79930007679820010005301720038             7157502583853000400       26       24Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             7316502583857            103      119Sylvanite CDP                                                                                                                                                              
79930007679820010005301720038             7316502583857000500      103      119Census Tract 5 (part)                                                                                                                                                      
79830007679820010005301720038             7472502583859            541      329Trego CDP                                                                                                                                                                  
79930007679820010005301720038             7472502583859000300       30       23Census Tract 3 (part)                                                                                                                                                      
79930007679820010005301720038             7472502583859000400      511      306Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             7502502412101            938      490Troy city                                                                                                                                                                  
79930007679820010005301720038             7502502412101000500      938      490Census Tract 5 (part)                                                                                                                                                      
79830007679820010005301720038             7910502583864            365      210West Kootenai CDP                                                                                                                                                          
79930007679820010005301720038             7910502583864000400      365      210Census Tract 4 (part)                                                                                                                                                      
79830007679820010005301720038             7993502583866            577      283White Haven CDP                                                                                                                                                            
79930007679820010005301720038             7993502583866000100      577      283Census Tract 1 (part)                                                                                                                                                      
79830007679820010005301720038             8213002583869            248      322Yaak CDP                                                                                                                                                                   
79930007679820010005301720038             8213002583869000500      248      322Census Tract 5 (part)                                                                                                                                                      
79830007679820010005301720038             9999999999999          11247     6490Remainder of Lincoln County                                                                                                                                                
79930007679820010005301720038             9999999999999000100     1601      856Census Tract 1 (part)                                                                                                                                                      
79930007679820010005301720038             9999999999999000200      107       58Census Tract 2 (part)                                                                                                                                                      
79930007679820010005301720038             9999999999999000300     3824     1950Census Tract 3 (part)                                                                                                                                                      
79930007679820010005301720038             9999999999999000400     3428     2227Census Tract 4 (part)                                                                                                                                                      
79930007679820010005301720038             9999999999999000500     2287     1399Census Tract 5 (part)                                                                                                                                                      
795300076798200200                                              193893    95401West Montana--Missoula City PUMA                                                                                                                                           
79630007679820020004701796943                                    28746    16588Lake County                                                                                                                                                                
79830007679820020004701796943             0242502407760            636      297Arlee CDP                                                                                                                                                                  
79930007679820020004701796943             0242502407760940700      636      297Census Tract 9407 (part)                                                                                                                                                   
79830007679820020004701796943             0441002583788            275      307Bear Dance CDP                                                                                                                                                             
79930007679820020004701796943             0441002583788000200      231      257Census Tract 2 (part)                                                                                                                                                      
79930007679820020004701796943             0441002583788940301       44       50Census Tract 9403.01 (part)                                                                                                                                                
79830007679820020004701796943             0580002407837            177      167Big Arm CDP                                                                                                                                                                
79930007679820020004701796943             0580002407837940303      177      167Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             1390002408013            379      181Charlo CDP                                                                                                                                                                 
79930007679820020004701796943             1390002408013940500       44       20Census Tract 9405 (part)                                                                                                                                                   
79930007679820020004701796943             1390002408013940600      335      161Census Tract 9406 (part)                                                                                                                                                   
79830007679820020004701796943             1952502408645             84      104Dayton CDP                                                                                                                                                                 
79930007679820020004701796943             1952502408645940303       84      104Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             2410002408079            180      100Elmo CDP                                                                                                                                                                   
79930007679820020004701796943             2410002408079940303      180      100Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             2622602408212            480      793Finley Point CDP                                                                                                                                                           
79930007679820020004701796943             2622602408212940301      480      793Census Tract 9403.01 (part)                                                                                                                                                
79830007679820020004701796943             3962702408445            253      163Jette CDP                                                                                                                                                                  
79930007679820020004701796943             3962702408445940303      253      163Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             4035502408475            251      107Kerr CDP                                                                                                                                                                   
79930007679820020004701796943             4035502408475940303      251      107Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             4058002408480            286       29Kicking Horse CDP                                                                                                                                                          
79930007679820020004701796943             4058002408480940500      286       29Census Tract 9405 (part)                                                                                                                                                   
79830007679820020004701796943             4072502408482            151      385Kings Point CDP                                                                                                                                                            
79930007679820020004701796943             4072502408482940303      151      385Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             4191002583821             65      168Lake Mary Ronan CDP                                                                                                                                                        
79930007679820020004701796943             4191002583821000200       65      168Census Tract 2 (part)                                                                                                                                                      
79830007679820020004701796943             4371002583822            284      504Lindisfarne CDP                                                                                                                                                            
79930007679820020004701796943             4371002583822940303      284      504Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             5372502408924              0        0Niarada CDP (part)                                                                                                                                                         
79930007679820020004701796943             5372502408924940303        0        0Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             5635002409011           2254      821Pablo CDP                                                                                                                                                                  
79930007679820020004701796943             5635002409011940400     2254      821Census Tract 9404 (part)                                                                                                                                                   
79830007679820020004701796943             5875002411452           4488     2506Polson city                                                                                                                                                                
79930007679820020004701796943             5875002411452940301     2633     1552Census Tract 9403.01 (part)                                                                                                                                                
79930007679820020004701796943             5875002411452940303     1855      954Census Tract 9403.03 (part)                                                                                                                                                
79830007679820020004701796943             6107502409145             76       53Ravalli CDP                                                                                                                                                                
79930007679820020004701796943             6107502409145940600       76       53Census Tract 9406 (part)                                                                                                                                                   
79830007679820020004701796943             6394002409200             97       82Rocky Point CDP                                                                                                                                                            
79930007679820020004701796943             6394002409200940303       97       82Census Tract 9403.03 (part)                                                                                                                                                
