795530177980410100                                              201140    90665Whatcom County--Bellingham City PUMA
79653017798041010007301529224                                   201140    90665Whatcom County
79953017798041010007301529224             9999999999999010702     3053     1156Census Tract 107.02 (part)
79953017798041010007301529224             9999999999999010900      964      964Census Tract 109
79953017798041010007301529224             9999999999999011000        0        0Census Tract 110 (part)
79953017798041010007301529224             9999999999999940000     4706     1989Census Tract 9400
795530177980410200                                              211176   105020Skagit, Island & San Juan Counties PUMA
79653017798041020002901513272                                    78506    40234Island County
79853017798041020002901513272             1315502407635            928      615Clinton CDP
79953017798041020002901513272             1315502407635972000      339      229Census Tract 9720 (part)
79953017798041020002901513272             1315502407635972100      589      386Census Tract 9721 (part)
79953017798041020002901513272             1315502407635992201        0        0Census Tract 9922.01 (part)
79853017798041020002901513272             1518502412377           1831      933Coupeville town
79953017798041020002901513272             1518502412377971000     1451      727Census Tract 9710 (part)
79953017798041020002901513272             1518502412377971100      380      206Census Tract 9711 (part)
79853017798041020002901513272             2551002408260           2045     1159Freeland CDP
79953017798041020002901513272             2551002408260971300     1013      555Census Tract 9713 (part)
79953017798041020002901513272             2551002408260971800      439      243Census Tract 9718 (part)
79953017798041020002901513272             2551002408260971900      593      361Census Tract 9719 (part)
79853017798041020002901513272             3835502411623           1035      678Langley city
79953017798041020002901513272             3835502411623971900       12       10Census Tract 9719 (part)
79953017798041020002901513272             3835502411623972000     1023      668Census Tract 9720 (part)
79853017798041020002901513272             5036002411287          22075     9553Oak Harbor city
79953017798041020002901513272             5036002411287970300       12        5Census Tract 9703 (part)
79953017798041020002901513272             5036002411287970400     4042     1609Census Tract 9704 (part)
79953017798041020002901513272             5036002411287970500     2147      908Census Tract 9705 (part)
79953017798041020002901513272             5036002411287970601     3186     1551Census Tract 9706.01
79953017798041020002901513272             5036002411287970602     3291     1578Census Tract 9706.02
79953017798041020002901513272             5036002411287970700     1922     1190Census Tract 9707 (part)
79953017798041020002901513272             5036002411287970800     2693     1212Census Tract 9708 (part)
79953017798041020002901513272             5036002411287970900     4782     1500Census Tract 9709 (part)
79853017798041020002901513272             7815502407783           1541      277Whidbey Island Station CDP
79953017798041020002901513272             7815502407783970200     1541      277Census Tract 9702 (part)
79953017798041020002901513272             7815502407783970400        0        0Census Tract 9704 (part)
79853017798041020002901513272             9999999999999          49051    27019Remainder of Island County
79953017798041020002901513272             9999999999999970100     2604     1197Census Tract 9701
79953017798041020002901513272             9999999999999970200       92       47Census Tract 9702 (part)
79953017798041020002901513272             9999999999999970300     4977     2279Census Tract 9703 (part)
79953017798041020002901513272             9999999999999970400     2089      928Census Tract 9704 (part)
79953017798041020002901513272             9999999999999970500     3347     1479Census Tract 9705 (part)
79953017798041020002901513272             9999999999999970700        0        0Census Tract 9707 (part)
79953017798041020002901513272             9999999999999970800       13        8Census Tract 9708 (part)
79953017798041020002901513272             9999999999999970900       19        9Census Tract 9709 (part)
79953017798041020002901513272             9999999999999971000     3325     1664Census Tract 9710 (part)
79953017798041020002901513272             9999999999999971100     2909     1660Census Tract 9711 (part)
79953017798041020002901513272             9999999999999971300     3380     2469Census Tract 9713 (part)
79953017798041020002901513272             9999999999999971400     4400     2267Census Tract 9714
79953017798041020002901513272             9999999999999971500     3394     1934Census Tract 9715
79953017798041020002901513272             9999999999999971600     3817     1846Census Tract 9716
79953017798041020002901513272             9999999999999971700     4050     2438Census Tract 9717
79953017798041020002901513272             9999999999999971800     2013     1638Census Tract 9718 (part)
79953017798041020002901513272             9999999999999971900     3145     1991Census Tract 9719 (part)
79953017798041020002901513272             9999999999999972000     2576     1414Census Tract 9720 (part)
79953017798041020002901513272             9999999999999972100     2901     1751Census Tract 9721 (part)
79953017798041020002901513272             9999999999999992201        0        0Census Tract 9922.01 (part)
79653017798041020005501531931                                    15769    13313San Juan County
79853017798041020005501531931             2561502412659           2162     1273Friday Harbor town
79953017798041020005501531931             2561502412659960300        5        6Census Tract 9603 (part)
79953017798041020005501531931             2561502412659960400     2157     1267Census Tract 9604 (part)
79853017798041020005501531931             9999999999999          13607    12040Remainder of San Juan County
79953017798041020005501531931             9999999999999960100     5354     4515Census Tract 9601
79953017798041020005501531931             9999999999999960300     4756     3781Census Tract 9603 (part)
79953017798041020005501531931             9999999999999960400      744      495Census Tract 9604 (part)
79953017798041020005501531931             9999999999999960500     2753     3249Census Tract 9605
79953017798041020005501531931             9999999999999990100        0        0Census Tract 9901
79653017798041020005701531402                                   116901    51473Skagit County
79853017798041020005701531402             0125502407717            403      176Alger CDP
79953017798041020005701531402             0125502407717950800      403      176Census Tract 9508 (part)
79853017798041020005701531402             0199002409702          15778     7680Anacortes city
